zip_code,city,region,date,max_temp_f,min_temp_f,condition
90045,Los Angeles,California,2026-04-28,70.3,49.3,Sunny
90045,Los Angeles,California,2026-04-29,68.2,49.1,Sunny
90045,Los Angeles,California,2026-04-30,67.5,60.0,Sunny
10001,New York,New York,2026-04-29,61.5,49.9,Moderate rain
10001,New York,New York,2026-04-30,61.6,49.7,Patchy rain nearby
10001,New York,New York,2026-05-01,61.1,43.9,Sunny
60601,Chicago,Illinois,2026-04-29,55.4,43.8,Patchy rain nearby
60601,Chicago,Illinois,2026-04-30,52.1,42.4,Partly Cloudy
60601,Chicago,Illinois,2026-05-01,44.8,40.8,Patchy rain nearby
98101,Seattle,Washington,2026-04-28,56.8,45.0,Overcast
98101,Seattle,Washington,2026-04-29,64.7,43.0,Sunny
98101,Seattle,Washington,2026-04-30,67.7,44.8,Sunny
33101,Miami,Florida,2026-04-29,89.2,66.9,Sunny
33101,Miami,Florida,2026-04-30,82.7,76.3,Sunny
33101,Miami,Florida,2026-05-01,82.7,76.7,Sunny
77001,Houston,Texas,2026-04-29,93.6,73.8,Cloudy
77001,Houston,Texas,2026-04-30,89.7,73.9,Patchy rain nearby
77001,Houston,Texas,2026-05-01,73.3,58.0,Moderate rain
85001,Phoenix,Arizona,2026-04-28,91.4,57.6,Sunny
85001,Phoenix,Arizona,2026-04-29,85.9,55.8,Sunny
85001,Phoenix,Arizona,2026-04-30,88.5,70.8,Sunny
19101,Philadelphia,Pennsylvania,2026-04-29,68.8,50.5,Moderate rain
19101,Philadelphia,Pennsylvania,2026-04-30,62.2,51.1,Patchy rain nearby
19101,Philadelphia,Pennsylvania,2026-05-01,59.0,43.4,Patchy rain nearby
78201,San Antonio,Texas,2026-04-29,91.7,70.4,Moderate rain
78201,San Antonio,Texas,2026-04-30,84.6,64.8,Patchy rain nearby
78201,San Antonio,Texas,2026-05-01,65.6,55.9,Moderate rain
92101,San Diego,California,2026-04-28,70.7,50.9,Sunny
92101,San Diego,California,2026-04-29,67.6,51.3,Sunny
92101,San Diego,California,2026-04-30,65.9,60.0,Patchy rain nearby
75201,Dallas,Texas,2026-04-29,67.1,58.6,Patchy rain nearby
75201,Dallas,Texas,2026-04-30,65.1,57.9,Moderate rain
75201,Dallas,Texas,2026-05-01,55.9,52.6,Heavy rain
95101,San Jose,California,2026-04-28,75.4,45.9,Sunny
95101,San Jose,California,2026-04-29,76.0,47.8,Sunny
95101,San Jose,California,2026-04-30,77.7,45.8,Sunny
78701,Austin,Texas,2026-04-29,80.0,65.2,Moderate rain
78701,Austin,Texas,2026-04-30,75.7,63.2,Patchy rain nearby
78701,Austin,Texas,2026-05-01,62.0,55.3,Heavy rain
32099,Jacksonville,Florida,2026-04-29,94.7,68.2,Sunny
32099,Jacksonville,Florida,2026-04-30,89.8,70.0,Patchy rain nearby
32099,Jacksonville,Florida,2026-05-01,83.2,67.7,Moderate rain
43215,Columbus,Ohio,2026-04-29,58.6,48.6,Moderate rain
43215,Columbus,Ohio,2026-04-30,55.4,43.0,Patchy rain nearby
43215,Columbus,Ohio,2026-05-01,53.0,42.4,Patchy rain nearby
46201,Indianapolis,Indiana,2026-04-29,60.2,48.7,Moderate rain
46201,Indianapolis,Indiana,2026-04-30,59.2,43.1,Patchy rain nearby
46201,Indianapolis,Indiana,2026-05-01,56.3,44.6,Patchy rain nearby
94102,San Francisco,California,2026-04-28,67.1,49.1,Sunny
94102,San Francisco,California,2026-04-29,62.4,49.5,Sunny
94102,San Francisco,California,2026-04-30,62.6,52.8,Sunny
28201,Charlotte,North Carolina,2026-04-29,73.1,58.8,Patchy rain nearby
28201,Charlotte,North Carolina,2026-04-30,74.7,55.1,Sunny
28201,Charlotte,North Carolina,2026-05-01,70.0,51.3,Partly Cloudy
80201,Denver,Colorado,2026-04-29,60.5,42.0,Patchy rain nearby
80201,Denver,Colorado,2026-04-30,52.4,40.1,Moderate rain
80201,Denver,Colorado,2026-05-01,52.9,39.5,Patchy rain nearby
20001,Washington,District of Columbia,2026-04-29,69.8,49.3,Moderate rain
20001,Washington,District of Columbia,2026-04-30,64.9,48.6,Sunny
20001,Washington,District of Columbia,2026-05-01,61.2,41.2,Patchy rain nearby
